Rank,Network,Address,Prizes,Balance,Winrate
1,0xac4b04156278634d81995aa1594f266d9c5b65b1,polygon,2531,2740,1209.04%
2,0x35b0f6fbe08a3c7a1e412a514e9e02f85d01c1a4,polygon,2500,2742,1032.09%
3,0xb28dd17a394e7202d154981fa5f487483c4233bd,polygon,2572,2953,655.24%
4,0x85bd4f508b2cd7a17bdfca628059b3b787546726,polygon,2612,3054,590.70%
5,0xe8b2e185511c72daf409e2976717a7cdd1c93100,polygon,200,270,283.69%
6,0xe84b0443b8341d9c215a150ff208c0ce5d2d9a74,polygon,2611,3533,283.07%
7,0x131714f33164d7e2bc5cccc294f545592e1b0de4,polygon,10,14,250.00%
8,0x2dab41f30a18816b778aee9277ed9059994bff9e,polygon,200,282,244.35%
9,0xa83e512702d1dc2df2c755a0aa8815d8a63054b8,polygon,10,15,200.00%
10,0xae9d5647400ce620dcf954b0f822976ced9a6504,polygon,10,15,197.94%
11,0xa3bd3cc8207cfe58e71003e6d1d64256b2375467,polygon,10,15,193.06%
12,0x930b797b7787a28df9c5d9a6fa038233b7584f38,polygon,51,78,185.78%
13,0x6277f0457cbd2ded7ba93a8338d1deb1d08a8795,polygon,2862,4763,150.58%
14,0xbf4c544b70100d72c5c40e4521b600fe62a22b87,polygon,125,212,142.99%
15,0xf2eb70e0c90cb9c8720cb374a8690cdc63e1680a,polygon,5,9,125.00%
16,0xb79c7539459c11aacc4ce73e9809ef5ae697e856,polygon,5,9,125.00%
17,0x02e262d07bdb8ad09bbf83f3bc23c55ecbda0f8b,polygon,236,427,123.77%
18,0xc5e9d01f386430c393a190708b8dcbdae258e4ec,polygon,123,223,123.00%
19,0x6d3762700c7a798f2b763ef288935388f2759b67,polygon,5,9,116.38%
20,0x9df8754f8cf270e08687b2fe1f479c757310b4ca,polygon,110,210,110.00%
21,0x22e5e9cba59e00e2a4bc0f6845d6313b4f3e9734,polygon,53,102,107.66%
22,0x8ae76ffd692ed84ec160455cd15408fb5d8a00a4,polygon,2610,5110,104.40%
23,0x8239daff648a042792de76ca37ccf8021eb4ae4c,polygon,10,20,103.58%
24,0xa7edf97e7998de170f97d7d4317625cff7bbbcb9,polygon,220,408,101.22%
25,0x52876dafdc67238390477bb2403bdc8021944ddc,polygon,100,200,100.00%
26,0x139660bbfd2936ec6b37c6aa46d7476c7b48481c,polygon,50,100,100.00%
27,0x9fbd00df3f16c3fc39826408e67f1d11d9b4f8d1,polygon,10,20,100.00%
28,0xf3150524baa0e7a4bea32779a48b48a8fe8396de,polygon,10,20,100.00%
29,0xf3ba96cd93c013def2bacf56c20cf1339ddee80b,polygon,10,20,100.00%
30,0xdb576efe338dc2b92b4f0a0d576d08f8c4ece517,polygon,5,10,100.00%
31,0xcccf8d834febceb948cfa1349359907289de5c3e,polygon,10,20,100.00%
32,0x21909e494a1d00b4e30a918207350ced6da16b45,avalanche,201,403,98.31%
33,0x2f49b721cc086be9495d5067958f69098d3c72ab,polygon,2606,5383,93.86%
34,0xd45b7892c3c6ee475133065855c1b0087fdb76d9,ethereum,2588,5253,90.89%
35,0x9ef06cd97cf751f91a58577de9276223096d4071,polygon,6,13,88.81%
36,0x65bb87fff283eb02be1ecf6882fd6f2f56768f82,polygon,10,22,83.33%
37,0x995d4816d5007b8ed0b7d93ce3c18aaade42e382,polygon,3188,7046,82.63%
38,0xf77e2c9b9ea81843d97a034e50aaa61b54edcc92,polygon,5,12,74.61%
39,0xf238546013bc65fca193d518a37c32e3fea4734e,polygon,51,123,71.23%
